,abstract,contribution,category
0,"objective. to evaluate associations between common vaginal infections and human papillomavirus (hpv). study design. data from up to 15 visits on 756 hiv - infected women and 380 high - risk hiv - uninfected women enrolled in the hiv epidemiology research study (hers) were evaluated for associations of bacterial vaginosis, trichomoniasis, and vaginal candida colonization with prevalent hpv, incident hpv, and clearance of hpv in multivariate analysis. results. bacterial vaginosis (bv) was associated with increased odds for prevalent (aor = 1.14, 95% ci : 1.04, 1.26) and incident (aor = 1.24, 95% ci : 1.04, 1.47) hpv and with delayed clearance of infection (ahr = 0.84, 95% ci : 0.72, 0.97). whereas bv at the preceding or current visit was associated with incident hpv, in an alternate model for the outcome of incident bv, hpv at the current, but not preceding, visit was associated with incident bv. conclusion. these findings underscore the importance of prevention and successful treatment of bacterial vaginosis.",this paper analyses the connection between common vaginal infections and human papillomavirus (hpv) and the results show that bacterial vaginosis (bv) was associated with increased chance for hpv. this underscores the importance of proper prevention and treatment of bv.,experimental
1,"endothelial dysfunction and oxldl are believed to be early and critical events in atherogenesis. 6-shogaol is the major bioactive compound present in zingiber officinale and possesses the anti - atherosclerotic effect. however, the mechanisms remain poorly understood. the goal of this study was to investigate the effects of 6-shogaol on oxldl - induced human umbilical vein endothelial cells (huvecs) injuries and its possible molecular mechanisms. hence, we studied the effects of 6-shogaol on cell apoptosis, cellular reactive oxygen species (ros), nf-b activation, bcl-2 expression, and caspase -3, -8, -9 activities. in addition, e - selectin, mcp-1, and icam-1 were determined by elisa. our study show that oxldl increased lox-1 expression, ros levels, nf-b, caspases-9 and -3 activation and decreased bcl-2 expression in huvecs. these alterations were attenuated by 6-shogaol. cotreatment with 6-shogaol and sirna of lox-1 synergistically reduced oxldl - induced caspases -9, -3 activities and cell apoptosis. overexpression of lox-1 attenuated the protection by 6-shogaol and uppressed the effects of 6-shogaol on oxldl - induced oxidative stress. in addition, oxldl enhanced the activation of nf-b and expression of adhesion molecules. pretreatment with 6-shogaol, however, exerted significant toprotective effects in all events. our data indicate that 6-shogaol might be a potential natural antiapoptotic agent for the treatment of atherosclerosis.",this paper analyses the effects of 6-shogaol on oxldl with the results showing that 6-shogaol potential for being a natural antiapoptotic agent for the treatment of atherosclerosis.,experimental
2,"objective : the aim of this study was to evaluate the cytotoxicity of three dentine bonding agents (g - bond, clearfil s3 bond and clearfil se bond x) in cell - culture perfusion.methods:in this experiment, 8104 tcpc sv40 cells (bovine - pulp - derived cells transfected with simian virus 40 large t - antigen) in mem - alpha media, 20%fcs were seeded on mesh in a 6-well plate and incubated at 37 c with 5% co2. after 2 days, the mesh inserts were transferred to a 24-well plate and incubated in mem - alpha media, 20%fcs with 50 g / ml of ascorbic acid at 37 c with 5% co2 for 14 days. the test materials were applied to the dentine discs of dentine barrier models. three - dimensional cell cultures in mesh and perfusion conditions were generated in this experiment. each material, as well as the negative control (president) and the positive control (vitrebond), was tested in 5 models with the tests repeated in triplicate. the mtt assay was used to determine cell viability after the diffusion of leachable toxicity from the tested materials through the dentine discs.results:the cell survival rate with g - bond and clearfil s3 bond was 113.03 and 90.98 percent, respectively, whereas that with clearfil se bond x was 111.83 percent. all three dentine bonding agents had no toxicity compared with the negative control group (p>.05).conclusions : all three self - etching dentine - bonding agents are nontoxic. pulp damage caused by these three bonding agents is unlikely to occur in the clinic.","this paper analyses three dentine bonding agents (g-bond, clearfil s3 bond, and clearfil se bond x) for cell perfusion. the results of this paper show that these agents are nontoxic and pulp damaged caused by these bonding agents is unlikely to occur in the clinic.",experimental
3,"fibrosarcoma of the oral and maxillofacial region is a rare entity with poor prognosis. most common sites are the extremities, with only one percent of fibrosarcoma arising in the head and neck area. oral fibrosarcoma are locally infiltrative and destructive, spreads by haematogenous dissemination. the positive immunostaining for vimentin, together with negativity for muscular immunomarkers help to diagnosis the fibrosarcoma. surgical management of fibrosarcoma in maxillofacial region is far from satisfactory, because of lack of inadequate clearance. this paper describes an unusual case of soft tissue fibrosarcoma of premaxillary region in an adult aged 71 years.",this paper is describing the effects of fibrosarcoma and is specifcally a case study analyzing an unusual case of fibrosarcoma of the premaxilary region that aged in an adult for 71 years.,case study
4,"the effects of turgor pressure - induced membrane tension on junctional coupling of hensen cell isolates from the inner ear were evaluated by input capacitance or transjunctional conductance measurement techniques. turgor pressure was altered by changing either pipette pressure or the osmolarities of extracellular solutions. both positive pipette pressure and extracellular applications of hypotonic solutions, which caused cell size to concomitantly increase, uncoupled the cells as indicated by reduced input capacitance and transjunctional conductance. these changes were, in many cases, reversible and repeatable. intracellular application of 50 m h-7, a broad - based protein kinase inhibitor, and 10 mm bapta did not block the uncoupling effect of positive turgor pressure on inner ear gap junctions. the transjunctional conductance at a holding potential of 80 mv was 53.6 5.8 ns (mean sem, n = 9) and decreased 40% at a turgor pressure of 1.41 0.05 kpa. considering the coincident kinetics of cell deformation and uncoupling, we speculate that mechanical forces work directly on gap junctions of the inner ear. these results suggest that pathologies that induce imbalances in cochlear osmotic pressure regulation may compromise normal cochlear homeostasis.","the paper explores how changes in cell pressure affect the connections between hensen cells in the inner ear. the researchers found that increasing cell pressure can weaken these connections, potentially impacting hearing.",experimental
5,"obesity is a key public health issue for us youth. previous research with primarily white samples of youth has indicated that sexual minority females have higher body mass index (bmi) and sexual minority males have lower bmi than their same - gender heterosexual counterparts, with sexual orientation differences in males increasing across adolescence. this research explored whether gender and sexual orientation differences in bmi exist in nonwhite racial / ethnic groups. using data from waves i iv (19952009) of the us national longitudinal study of adolescent health (n = 13,306, ages 1134 years), we examined associations between sexual orientation and bmi (kg / m2) over time, using longitudinal linear regression models, stratified by gender and race / ethnicity. data were analyzed in 2013. among males, heterosexual individuals showed greater one - year bmi gains than gay males across all race / ethnicity groups. among females, white and latina bisexual individuals had higher bmi than same - race / ethnicity heterosexual individuals regardless of age ; there were no sexual orientation differences in black / african americans. sexual orientation disparities in bmi are a public health concern across race / ethnicity groups. interventions addressing unhealthy weight gain in youth must be relevant for all sexual orientations and race / ethnicities.","the study examines bmi differences among youth of different sexual orientations and racial/ethnic groups. it finds that sexual minority youth, particularly bisexual females, tend to have higher bmi compared to their heterosexual peers, with some variations across racial/ethnic groups.",descriptive
6,"the routine use of 18f - fluorodeoxyglucose - positron emission tomography (pet)/computed tomography scans for staging and assessment of treatment response for cancer has resulted in a large number of thyroid abnormalities being detected as incidental findings (incidentalomas). since most pet / ct scans are performed in the setting of a known nonthyroid malignancy, the need for incidentalomas to be further investigated and managed depends on the stage, prognosis, and current treatment plan for the known malignancy. we present a case describing the management of an incidental f - fluorodeoxyglucose - avid thyroid nodule detected in a patient with known metastatic colorectal cancer. on the basis of this case, we discuss the management of incidental pet - detected thyroid nodules in patients with metastatic cancer. thyroid incidentalomas must be seen in the context of the prognosis and treatment plan for the known malignancy.",the study discusses the management of incidental thyroid nodules found during pet/ct scans for cancer patients. it highlights the importance of considering the patients overall prognosis and treatment plan when deciding on further investigation and management of these nodules.,case study
7,"previous work describes a computational solvation model called semi - explicit assembly (sea). the sea water model computes the free energies of solvation of nonpolar and polar solutes in water with good efficiency and accuracy. however, sea gives systematic errors in the solvation free energies of ions and charged solutes. here, we describe field - sea, an improved treatment that gives accurate solvation free energies of charged solutes, including monatomic and polyatomic ions and model dipeptides, as well as nonpolar and polar molecules. field - sea is computationally inexpensive for a given solute because explicit - solvent model simulations are relegated to a precomputation step and because it represents solvating waters in terms of a solute s free - energy field. in essence, field - sea approximates the physics of explicit - model simulations within a computationally efficient framework. a key finding is that an atom s solvation shell inherits characteristics of a neighboring atom, especially strongly charged neighbors. field - sea may be useful where there is a need for solvation free - energy computations that are faster than explicit - solvent simulations and more accurate than traditional implicit - solvent simulations for a wide range of solutes.","the paper introduces a new computational model called field-sea, which provides accurate solvation free energies for various solutes, including charged and uncharged molecules. this model is more efficient than traditional explicit-solvent simulations while being more accurate than implicit-solvent models. it achieves this by using a precomputation step to represent solvating water molecules as a solutes free energy field.",analytical
8,"abstractthe purpose of the present study was to investigate the possibility of immunoelectron microscopic observation of endocrine cells in paraffin - embedded tissues. the procedure, which involves reprocessing from sliced tissues and immunohistochemical staining by colloidal - gold immunolabeling of paraffin sections from paraffin blocks, was able to reveal the fine characteristics of secretory granules containing glucagon - like peptide-1. morphometric analyses of the secretory granules showed no significant differences between the reprocessing procedure and a conventional post - embedding procedure, which was performed as a control. the reprocessing procedure has some advantages besides providing information on secretory granules containing the amino acid peptide. for example, the same cell can be observed under both a light microscope and the electron microscope. in addition, the high - electron densities of silver - enhanced gold particles are easily recognized, and the boundary between the profile of the granules and the immunogold labeling is clearly shown at the electron microscopic level. furthermore, the procedure, which is inexpensive and does not require special devices, can effectively use precious samples that are already paraffin - embedded and unable to be obtained twice, such as the case for endangered animals and rare pathological tissues. to the best of our knowledge, the present study is the first to report the advantages of the reprocessing method for sliced paraffin sections of gut endocrine cells.","the study describes a new method for visualizing endocrine cells in paraffin-embedded tissues using electron microscopy. this method allows researchers to study the fine structure of these cells and their secretory granules, providing valuable insights into their function.",experimental
9,"imaging through the visual system in alzheimer s disease, with the technology currently in widespread use for the diagnosis and management of eye disease such as glaucoma and macular degeneration, is proving to be promising. in vivo cross - section imaging during an annual comprehensive eye exam has been available for a decade for glaucoma and macular degeneration, and this same imaging, using optical coherence tomography, has been demonstrated to show deficits specific to ad and mild cognitive impairment. these deficits are in the form of nerve fiber layer tissue drop out in the retina and optic nerve. the retrograde loss of nerve fiber layer tissue in the retina and optic nerve may be an early biomarker of ad, and these deficits in the nerve fiber layer of the retina and optic nerve may be the earliest sign of ad, even prior to damage to the hippocampal region that impacts memory.","the study suggests that eye imaging techniques, like optical coherence tomography, can detect early signs of alzheimers disease. by measuring changes in the nerve fiber layer of the retina and optic nerve, this technology may help identify individuals at risk for developing the disease before significant cognitive decline occurs.",action
